Unnamed: 0,id,name,rank,visitor,blog,menu,explain,price,jibun_address,patty,wordlist,latitude,longitude
119,1287859520,버거스캔들 서초역점,0.0,39,9,스캔들버거,수제 소고기패티+폭신한 브리오쉬번+청상추+토마토+볶은양파+특제소스,"6,300원",서초동 1302-1,소고기 패티,수제 고기 패티 신한 브리 오쉬 상추 토마토 볶다 양파 소스,37.5031604059495,127.02175483636
120,1287859520,버거스캔들 서초역점,0.0,39,9,NY치즈버거,수제 소고기패티+체다치즈+폭신한 브리오쉬번+청상추+토마토+볶은양파+특제소스,"7,500원",서초동 1302-1,소고기 패티,수제 고기 패티 치즈 신한 브리 오쉬 상추 토마토 볶다 양파 소스,37.5031604059495,127.02175483636
121,1287859520,버거스캔들 서초역점,0.0,39,9,골든베이컨버거,수제 소고기패티+폭신한 브리오쉬번+청상추+토마토+구운 파인애플+베이컨+볶은양파+특제소스,"8,300원",서초동 1302-1,소고기 패티,수제 고기 패티 신한 브리 오쉬 상추 토마토 파인애플 베이컨 볶다 양파 특제 소스,37.5031604059495,127.02175483636
122,1287859520,버거스캔들 서초역점,0.0,39,9,리얼쉬림프버거,폭신한 브리오쉬번+통새우+새우패티+청상추+볶은양파+특제소스,"7,900원",서초동 1302-1,새우 패티,신한 브리 오쉬 새우 패티 상추 볶다 양파 소스,37.5031604059495,127.02175483636
123,1287859520,버거스캔들 서초역점,0.0,39,9,NY더블치즈버거,수제 소고기패티2개+체다치즈2장+폭신한 브리오쉬번+청상추+토마토+볶은양파+특제소스,"9,500원",서초동 1302-1,소고기 패티,수제 고기 패티 치즈 신한 브리 오쉬 상추 토마토 볶다 양파 소스,37.5031604059495,127.02175483636
124,1287859520,버거스캔들 서초역점,0.0,39,9,아메리칸더블치즈버거,수제 소고기패티2개+체다치즈2장+폭신한 브리오쉬번+볶은양파+특제소스,"8,500원",서초동 1302-1,소고기 패티,수제 고기 패티 치즈 신한 브리 오쉬 볶다 양파 특제 소스,37.5031604059495,127.02175483636
152,1182796220,버거스테이,4.7,316,249,풀드포크버거,"직접 만든 수제 브리오슈 번, 10시간 이상 낮은 온도로 구워낸 풀드 포크, 제주 로컬푸드로 만든 제철 피클","12,000원",세화리 3647-4,소고기 패티,직접 수제 브리 오슈 낮다 온도 굽다 내다 풀드 포크 제주 로컬 푸드 제철 피클,33.5256847464912,126.855495439455
153,1182796220,버거스테이,4.7,316,249,굿즈버거,"직접 만든 수제 브리오슈 번, 두번 갈아서 구운 소고기 패티, 루꼴라 양파 토마토의 신선함, 에멘탈 치즈와 아메리칸 치즈의 진한 풍미","11,000원",세화리 3647-4,소고기 패티,직접 수제 브리 오슈 갈다 소고기 패티 루꼴 양파 토마토 신선하다 멘탈 치즈 아메리칸 진하다 밉다,33.5256847464912,126.855495439455
156,1182796220,버거스테이,4.7,316,249,스테이버거,"번, 패티(70g), 아메리칸 치즈 3가지 조화로 스매쉬드 방식으로 구워 드립니다","7,800원",세화리 3647-4,소고기 패티,패티 아메리칸 치즈 가지 조화로 스매쉬 방식 굽다 드리다,33.5256847464912,126.855495439455
251,37386503,버거애,0.0,771,362,트리플버거,버거단품,"12,500원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
