restaurant,id,person
버거웍스,38268032,최지우
버거운버거 서울경희대점,1708823858,최지우
버거운녀석들 중림점,1494533029,최지우
버거운녀석들 남대문점,37889546,최지우
버거앤타코,1381725348,최지우
버거스하이,1888499675,최지우
버거스타,1243378372,최지우
버거스올마이티 신세계백화점본점,1423852599,최지우
버거스낵,1102024337,최지우
버거브라더,1961046531,최지우
버거보이 신용산점,1116140640,최지우
버거버거,1604562592,최지우
버거바,1784062911,최지우
버거랩,1221855065,최지우
버거드조선,1000498595,최지우
버거더스패로우,1457241563,최지우
버거넛,20383637,최지우
버거냠,1273579880,최지우
버거4.5,19994426,최지우
버거 베이트,1118853147,최지우
바스버거 후암직영점,1411095343,최지우
바스버거 을지로점,1248892060,최지우
바스버거 역삼직영점,38403519,최지우
바스버거 여의도직영점,37797658,최지우
바스버거 성수직영점,1243309953,최지우
바스버거 마곡직영점,1744444208,최지우
바스버거 광화문직영점,36383704,최지우
미트앤번버거샵,69898128,최지우
미미즈베케이션,1617316463,최지우
미드시티스낵,1068280880,최지우
미니히노코,1916735931,최지우
미국식 신당점,1294252896,최지우
미국식 방배본점,1015077331,최지우
목동버거 문래점,1091569039,최지우
모아나 버거 MOANA BURGER,1230097451,최지우
멜팅소울 롯데백화점 본점,1327908742,최지우
멜팅버거스,1107495731,최지우
메어블릭 레스토랑,1771025897,최지우
릴버거,1717346517,최지우
리틀다이너,1938856872,최지우
리치즈하우스,1487493372,최지우
리버타운버거 합정점,1409314294,최지우
리버타운버거,1952994644,최지우
르프리크 캐주얼 더현대 서울,1402939180,최지우
르프리크 성수,1227114216,최지우
르프리크 대전신세계점,1872076923,최지우
루이스버거,1958280900,최지우
루비스카페 도산점,1654844329,최지우
루비스카페 SM성수점,1534088918,최지우
롸카두들 내쉬빌 핫치킨 압구정,1728011058,최지우
롸카두들 내쉬빌 핫치킨 성수점,1882528663,최지우
러플리버거,1923216048,최지우
래빗홀버거,1749978133,최지우
따다 대전대흥점,38757737,최지우
디스코버거,1132195480,최지우
디바버거,1131019278,최지우
델리카테슨,1085675156,최지우
데일리라운드 연남,34079145,최지우
더피플버거,1116426174,최지우
더티프라이 신도림점,1077728618,최지우
더블트러블 유니온,35112273,최지우
대전버거,1361327777,최지우
다운타우너 청담,887123043,최지우
다운타우너 잠실,1484348632,최지우
다운타우너 연남,1228027510,최지우
다운타우너 안국,1778375429,최지우
다운타우너 광화문,1232696474,최지우
니즈버거 을지로점,1108598346,최지우
니즈버거 신촌점,147545760,최지우
니꾸킹버거,1732651729,최지우
노티버거,1498764685,최지우
넌덕,1255383366,최지우
너의작은버거집,1471112260,최지우
나인온스버거 서울대500동점,1212757030,최지우
나인온스버거,33315286,최지우
나인바이츠,1377396325,최지우
나이스두잉 버거샵,1894210573,최지우
까사마리아,1203593820,최지우
그레이비 버거,1424425094,최지우
골드버거,1533942054,최지우
고든램지버거 롯데월드몰점,1267493146,최지우
고든램지 스트리트 버거 무역센터점,1111204384,최지우
NOMERCY BURGER,1886409886,최지우
GTS버거 성수점,1375307120,최지우
GTS버거 공릉점,1490481665,최지우
GTS버거,1595931906,최지우
GTS 포레스트,1035287630,최지우
BURGERVILL & CAFE,1383637290,최지우
Bored&Hungry,1995959267,최지우
bd버거 성수,1026594418,최지우
bd버거 강남,1126925684,최지우
8nrm 팔도강산버거 연남점,1177219000,최지우
8:7 버거 / 8colon7버거,1751065039,최지우
599버거 레이크,1823283194,최지우
1989버거스탠드 연남,1704918395,최지우
153스트리트,1786043134,최지우
